Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
0,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(86.75052972136689, 'Left Curve')",0.0115273071324393,0.0,0.8962500000000001,1.7962500000000001,0,21,838860.8
1,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(84.91297980188811, 'Left Curve')",0.011776762543643111,0.0,0.8962500000000001,1.7962500000000001,0,21,2.0
2,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(95.072874150343, 'Left Curve')",0.010518247280698122,0.0,0.8962500000000001,1.7962500000000001,0,21,2.8
3,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(93.00574030377723, 'Left Curve')",0.010752024517344626,0.0,0.8962500000000001,1.7962500000000001,0,21,3.8
4,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(78.13885019030506, 'Left Curve')",0.012797731187041106,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
5,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(98.22323743110792, 'Left Curve')",0.010180890247090285,0.0,0.8962500000000001,1.7962500000000001,0,21,6.2
6,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(101.10343982486906, 'Left Curve')",0.009890860308335659,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
7,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(119.28967188932249, 'Left Curve')",0.008382955407303027,0.0,0.8962500000000001,1.7962500000000001,0,21,6.6
8,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,"(134.37151953531637, 'Left Curve')",0.007442053222723091,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
9,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(89.88900947761283, 'Left Curve')",0.01112483056395291,0.0,0.8962500000000001,1.7962500000000001,0,21,5.7
10,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(87.78366841439303, 'Left Curve')",0.01139164058716917,0.0,0.8962500000000001,1.7962500000000001,0,21,5.9
11,0,328,319,322,0.41000000000000003,0.39875,0.4025,0.01,-0.00125,0.0025,"(135.2073694396641, 'Left Curve')",0.0073960465627300525,0.0,0.8962500000000001,1.7962500000000001,0,21,5.6
12,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(92.56425306275698, 'Left Curve')",0.01080330653478095,0.0,0.8962500000000001,1.7962500000000001,0,21,6.1
13,0,327,319,321,0.40875,0.39875,0.40125,0.00875,-0.00125,0.00125,"(122.97828729300099, 'Left Curve')",0.008131516725529423,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
14,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,"(120.15835593739806, 'Left Curve')",0.008322350886034054,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
15,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,"(107.50222383327605, 'Left Curve')",0.009302133149830355,0.0,0.8962500000000001,1.7962500000000001,0,21,6.3
16,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,"(96.32206064102935, 'Left Curve')",0.01038183769476003,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
17,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,"(157.14792341425363, 'Left Curve')",0.006363431207194037,0.0,0.8962500000000001,1.7962500000000001,0,21,6.7
