Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
0,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,1048576.0
1,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.0
2,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.7
3,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.8
4,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
5,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
6,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
7,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.0
8,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
9,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.9
10,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
11,0,328,319,322,0.41000000000000003,0.39875,0.4025,0.01,-0.00125,0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
12,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
13,0,327,319,321,0.40875,0.39875,0.40125,0.00875,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.2
14,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
15,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
16,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.8
17,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
18,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.3
19,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.6
20,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.9
21,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
22,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
23,0,326,320,321,0.40750000000000003,0.4,0.40125,0.0075,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
24,0,327,319,321,0.40875,0.39875,0.40125,0.00875,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.2
25,0,326,319,321,0.40750000000000003,0.39875,0.40125,0.0075,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.8
26,0,327,319,322,0.40875,0.39875,0.4025,0.00875,-0.00125,0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.6
27,0,327,320,322,0.40875,0.4,0.4025,0.00875,0.0,0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
28,0,327,320,321,0.40875,0.4,0.40125,0.00875,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
29,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
30,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.8
31,0,328,320,321,0.41000000000000003,0.4,0.40125,0.01,0.0,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.7
32,0,328,320,322,0.41000000000000003,0.4,0.4025,0.01,0.0,0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,8.1
33,0,326,319,321,0.40750000000000003,0.39875,0.40125,0.0075,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
34,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
35,0,328,319,321,0.41000000000000003,0.39875,0.40125,0.01,-0.00125,0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
36,0,327,320,320,0.40875,0.4,0.4,0.00875,0.0,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.6
37,0,328,320,320,0.41000000000000003,0.4,0.4,0.01,0.0,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
38,0,326,319,320,0.40750000000000003,0.39875,0.4,0.0075,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.6
39,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
40,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.6
41,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
42,0,326,319,320,0.40750000000000003,0.39875,0.4,0.0075,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.6
