Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,errorY_0_X,errorY_239_X,errorY_479_X,Curvature,xx (meter),yy(meter),Steering_Angle,Angle,error_yaw,FPS
0,0,324,290,248,0.01,-0.075,-0.18,0.02,"[0.01, -0.075, -0.18]",0.18,0,21,0.0,1048576.0
1,0,323,289,248,0.0075,-0.0775,-0.18,0.02,"[0.0075, -0.0775, -0.18]",0.18,0,21,0.0,1.9
2,0,324,289,248,0.01,-0.0775,-0.18,0.02,"[0.01, -0.0775, -0.18]",0.18,0,21,0.0,3.3
3,0,324,289,248,0.01,-0.0775,-0.18,0.02,"[0.01, -0.0775, -0.18]",0.18,0,21,0.0,4.9
4,0,325,289,248,0.0125,-0.0775,-0.18,0.02,"[0.0125, -0.0775, -0.18]",0.18,0,21,0.0,4.4
5,0,325,289,248,0.0125,-0.0775,-0.18,0.02,"[0.0125, -0.0775, -0.18]",0.18,0,21,0.0,6.1
6,0,324,289,248,0.01,-0.0775,-0.18,0.02,"[0.01, -0.0775, -0.18]",0.18,0,21,0.0,5.7
7,0,324,289,249,0.01,-0.0775,-0.1775,0.02,"[0.01, -0.0775, -0.1775]",0.18,0,21,0.0,5.9
8,0,323,289,248,0.0075,-0.0775,-0.18,0.02,"[0.0075, -0.0775, -0.18]",0.18,0,21,0.0,6.2
9,0,323,289,248,0.0075,-0.0775,-0.18,0.02,"[0.0075, -0.0775, -0.18]",0.18,0,21,0.0,5.8
10,0,324,289,248,0.01,-0.0775,-0.18,0.02,"[0.01, -0.0775, -0.18]",0.18,0,21,0.0,5.5
11,0,324,290,248,0.01,-0.075,-0.18,0.02,"[0.01, -0.075, -0.18]",0.18,0,21,0.0,6.4
12,0,324,289,249,0.01,-0.0775,-0.1775,0.02,"[0.01, -0.0775, -0.1775]",0.18,0,21,0.0,5.0
13,0,322,290,248,0.005,-0.075,-0.18,0.02,"[0.005, -0.075, -0.18]",0.18,0,21,0.0,6.1
14,0,323,289,248,0.0075,-0.0775,-0.18,0.02,"[0.0075, -0.0775, -0.18]",0.18,0,21,0.0,7.2
15,0,324,289,249,0.01,-0.0775,-0.1775,0.02,"[0.01, -0.0775, -0.1775]",0.18,0,21,0.0,6.7
