Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
0,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(203.51641003407263, 'Left Curve')",0.004913608685572728,0.0,1.941875,3.891875,0.0,21.0,1048576.0
1,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(199.20634194162793, 'Left Curve')",0.005019920501793177,0.0,1.941875,3.891875,0.0,21.0,2.1
2,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(223.03576026977146, 'Left Curve')",0.004483585945098923,0.0,1.941875,3.891875,0.0,21.0,2.8
3,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(218.18739328826638, 'Left Curve')",0.004583216220374441,0.0,1.941875,3.891875,0.0,21.0,4.7
4,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(183.31745265350585, 'Left Curve')",0.005455017978512563,0.0,1.941875,3.891875,0.0,21.0,4.9
5,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(230.42495573770788, 'Left Curve')",0.004339807712226697,0.0,1.941875,3.891875,0.0,21.0,5.4
6,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(237.1792570391559, 'Left Curve')",0.004216220307304994,0.0,1.941875,3.891875,0.0,21.0,6.1
7,0,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(279.8380971687018, 'Left Curve')",0.003573494853337089,0.0,1.941875,3.891875,0.0,21.0,5.9
8,0,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(315.21079735076825, 'Left Curve')",0.003172480157420479,0.0,1.941875,3.891875,0.0,21.0,5.9
9,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(210.8781219254794, 'Left Curve')",0.004742075616328669,0.0,1.941875,3.891875,0.0,21.0,5.8
10,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(205.9417326853051, 'Left Curve')",0.004855742383832797,0.0,1.941875,3.891875,0.0,21.0,5.7
11,0,328,319,322,0.8200000000000001,0.7975,0.805,0.02,-0.0025,0.005,"(317.16727480865933, 'Left Curve')",0.003152910402257862,0.0,1.941875,3.891875,0.0,21.0,4.9
12,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(217.15291308321622, 'Left Curve')",0.004605049896875135,0.0,1.941875,3.891875,0.0,21.0,5.3
13,0,327,319,321,0.8175,0.7975,0.8025,0.0175,-0.0025,0.0025,"(288.48168366204175, 'Left Curve')",0.0034664245830300505,0.0,1.941875,3.891875,0.0,21.0,6.6
14,0,328,320,321,0.8200000000000001,0.8,0.8025,0.02,0.0,0.0025,"(281.8732118801986, 'Left Curve')",0.0035476943457295215,0.0,1.941875,3.891875,0.0,21.0,5.3
15,0,328,320,321,0.8200000000000001,0.8,0.8025,0.02,0.0,0.0025,"(252.1895486219599, 'Left Curve')",0.003965271382039038,0.0,1.941875,3.891875,0.0,21.0,5.2
16,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(225.965325688913, 'Left Curve')",0.004425457742028537,0.0,1.941875,3.891875,0.0,21.0,5.0
17,0,328,320,321,0.8200000000000001,0.8,0.8025,0.02,0.0,0.0025,"(368.6324052819628, 'Left Curve')",0.002712729498740381,0.0,1.941875,3.891875,0.0,21.0,5.3
18,0,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(371.39160326730826, 'Left Curve')",0.002692575683463291,0.0,1.941875,3.891875,0.0,21.0,5.1
19,0,328,320,321,0.8200000000000001,0.8,0.8025,0.02,0.0,0.0025,"(300.61055959575197, 'Left Curve')",0.00332656311656103,0.0,1.941875,3.891875,0.0,21.0,7.4
20,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(269.08757267562305, 'Left Curve')",0.0037162622935599846,0.0,1.941875,3.891875,0.0,21.0,6.9
21,0,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(205.50727158333547, 'Left Curve')",0.004866007865782447,0.0,1.941875,3.891875,0.0,21.0,7.3
22,5,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(239.91081616921574, 'Left Curve')",0.004168215572634593,0.0,1.941875,3.891875,0.0,21.0,7.2
23,5,326,320,321,0.8150000000000001,0.8,0.8025,0.015,0.0,0.0025,"(213.58854513332437, 'Left Curve')",0.004681899019330782,0.0,1.941875,3.891875,0.0,21.0,8.3
24,5,327,319,321,0.8175,0.7975,0.8025,0.0175,-0.0025,0.0025,"(312.29758041289267, 'Left Curve')",0.003202074120068068,0.0,1.941875,3.891875,0.0,21.0,6.0
25,5,326,319,321,0.8150000000000001,0.7975,0.8025,0.015,-0.0025,0.0025,"(191.44102353494338, 'Left Curve')",0.00522354081447685,0.0,1.941875,3.891875,0.0,21.0,7.3
26,5,327,319,322,0.8175,0.7975,0.805,0.0175,-0.0025,0.005,"(268.373090131074, 'Left Curve')",0.003726155999886568,0.0,1.941875,3.891875,0.0,21.0,6.5
27,5,327,320,322,0.8175,0.8,0.805,0.0175,0.0,0.005,"(232.36364835824986, 'Left Curve')",0.004303599151870073,0.0,1.941875,3.891875,0.0,21.0,6.7
28,5,327,320,321,0.8175,0.8,0.8025,0.0175,0.0,0.0025,"(209.75799006009663, 'Left Curve')",0.004767398847183344,0.0,1.941875,3.891875,0.0,21.0,7.0
29,5,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(295.2105473562008, 'Left Curve')",0.0033874128446820056,0.0,1.941875,3.891875,0.0,21.0,6.6
30,5,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(279.5515152570013, 'Left Curve')",0.003577158217442197,0.0,1.941875,3.891875,0.0,21.0,6.6
31,5,328,320,321,0.8200000000000001,0.8,0.8025,0.02,0.0,0.0025,"(218.80491405909763, 'Left Curve')",0.004570281267677138,0.0,1.941875,3.891875,0.0,21.0,7.1
32,5,328,320,322,0.8200000000000001,0.8,0.805,0.02,0.0,0.005,"(252.0700356558723, 'Left Curve')",0.003967151420429863,0.0,1.941875,3.891875,9.572072926126248,30.572072926126246,5.6
33,5,326,319,321,0.8150000000000001,0.7975,0.8025,0.015,-0.0025,0.0025,"(257.59487595838556, 'Left Curve')",0.0038820647975992737,0.0,1.941875,3.891875,9.558481310945597,30.558481310945595,5.8
34,5,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(297.32530536769366, 'Left Curve')",0.0033633195087896363,0.0,1.941875,3.891875,9.549057133046258,30.549057133046258,6.3
35,5,328,319,321,0.8200000000000001,0.7975,0.8025,0.02,-0.0025,0.0025,"(268.55784552148845, 'Left Curve')",0.0037235925767061077,0.0,1.941875,3.891875,9.555602340474488,30.555602340474486,6.3
36,5,327,320,320,0.8175,0.8,0.8,0.0175,0.0,0.0,"(207.07185286880974, 'Left Curve')",0.0048292415707196544,0.0,1.941875,3.891875,9.587734719174108,30.587734719174108,5.5
37,5,328,320,320,0.8200000000000001,0.8,0.8,0.02,0.0,0.0,"(244.5422152091428, 'Left Curve')",0.004089273498830285,0.0,1.941875,3.891875,9.574291559669346,30.574291559669348,6.5
38,5,326,319,320,0.8150000000000001,0.7975,0.8,0.015,-0.0025,0.0,"(202.92478273968158, 'Left Curve')",0.004927934313882361,0.0,1.941875,3.891875,9.57748193982084,30.577481939820842,7.0
39,5,327,319,320,0.8175,0.7975,0.8,0.0175,-0.0025,0.0,"(255.95600782842018, 'Left Curve')",0.003906921382639898,0.0,1.941875,3.891875,9.558932916435337,30.55893291643534,5.8
40,5,327,319,320,0.8175,0.7975,0.8,0.0175,-0.0025,0.0,"(233.13801404267605, 'Left Curve')",0.004289304788437245,0.0,1.941875,3.891875,9.565879798212386,30.565879798212386,7.1
41,5,327,319,320,0.8175,0.7975,0.8,0.0175,-0.0025,0.0,"(222.14553884494367, 'Left Curve')",0.004501553374420876,0.0,1.941875,3.891875,9.569735782227907,30.56973578222791,6.3
42,5,326,319,320,0.8150000000000001,0.7975,0.8,0.015,-0.0025,0.0,"(213.85056852740385, 'Left Curve')",0.004676162457205977,0.0,1.941875,3.891875,9.572907931814912,30.57290793181491,5.5
43,5,325,318,319,0.8125,0.795,0.7975,0.0125,-0.005,-0.0025,"(199.75002503311472, 'Left Curve')",0.005006257194882549,0.0,1.941875,3.891875,9.566859074523093,30.566859074523094,6.0
44,5,326,319,320,0.8150000000000001,0.7975,0.8,0.015,-0.0025,0.0,"(236.80287251791907, 'Left Curve')",0.004222921746543971,0.0,1.941875,3.891875,9.564673772951037,30.56467377295104,5.7
45,5,326,320,320,0.8150000000000001,0.8,0.8,0.015,0.0,0.0,"(172.2937663719119, 'Left Curve')",0.005804040512071739,0.0,1.941875,3.891875,9.605444036286247,30.605444036286247,6.8
46,5,327,319,320,0.8175,0.7975,0.8,0.0175,-0.0025,0.0,"(210.52492819007927, 'Left Curve')",0.0047500313079176905,0.0,1.941875,3.891875,9.57424995179184,30.574249951791842,6.0
47,5,327,319,320,0.8175,0.7975,0.8,0.0175,-0.0025,0.0,"(210.85947954598444, 'Left Curve')",0.004742494869821203,0.0,1.941875,3.891875,9.574113035233804,30.574113035233804,5.9
48,5,326,318,319,0.8150000000000001,0.795,0.7975,0.015,-0.005,-0.0025,"(206.5924065568265, 'Left Curve')",0.004840448962604704,0.0,1.941875,3.891875,9.56384680887633,30.563846808876328,6.6
49,5,326,318,319,0.8150000000000001,0.795,0.7975,0.015,-0.005,-0.0025,"(203.85319112648432, 'Left Curve')",0.004905491027508774,0.0,1.941875,3.891875,9.565028448450729,30.56502844845073,5.6
50,5,326,318,319,0.8150000000000001,0.795,0.7975,0.015,-0.005,-0.0025,"(196.3813741783356, 'Left Curve')",0.005092132612800089,0.0,1.941875,3.891875,9.568419223101989,30.56841922310199,6.6
51,5,327,319,319,0.8175,0.7975,0.7975,0.0175,-0.0025,-0.0025,"(175.23185053986992, 'Left Curve')",0.005706725101168028,0.0,1.941875,3.891875,9.591630440433619,30.59163044043362,7.3
52,5,325,318,318,0.8125,0.795,0.795,0.0125,-0.005,-0.005,"(159.26687948434184, 'Left Curve')",0.006278769341357717,0.0,1.941875,3.891875,9.589977135074697,30.589977135074697,6.3
53,5,326,318,318,0.8150000000000001,0.795,0.795,0.015,-0.005,-0.005,"(174.05915050187446, 'Left Curve')",0.0057451733914398884,0.0,1.941875,3.891875,9.580283198835437,30.58028319883544,4.8
54,5,326,318,318,0.8150000000000001,0.795,0.795,0.015,-0.005,-0.005,"(186.12028462419892, 'Left Curve')",0.005372869496837114,0.0,1.941875,3.891875,9.573519455046709,30.573519455046707,6.2
55,5,325,318,317,0.8125,0.795,0.7925,0.0125,-0.005,-0.0075,"(187.75246584866613, 'Left Curve')",0.005326161738967672,0.0,1.941875,3.891875,9.57267088185678,30.57267088185678,5.5
56,5,326,317,317,0.8150000000000001,0.7925,0.7925,0.015,-0.0075,-0.0075,"(244.34046978595077, 'Left Curve')",0.00409264990312914,0.0,1.941875,3.891875,9.5382154814396,30.5382154814396,6.1
57,5,326,317,317,0.8150000000000001,0.7925,0.7925,0.015,-0.0075,-0.0075,"(285.64594903763214, 'Left Curve')",0.003500837324558928,0.0,1.941875,3.891875,9.527463787964665,30.527463787964663,6.7
58,5,325,316,317,0.8125,0.79,0.7925,0.0125,-0.01,-0.0075,"(366.0832113565009, 'Left Curve')",0.0027316193941113983,0.0,1.941875,3.891875,9.50144321250127,30.50144321250127,6.5
59,5,325,316,316,0.8125,0.79,0.79,0.0125,-0.01,-0.01,"(354.8737917964356, 'Left Curve')",0.002817903218318316,0.0,1.941875,3.891875,9.503010771140078,30.503010771140076,6.1
60,5,325,316,316,0.8125,0.79,0.79,0.0125,-0.01,-0.01,"(497.6511254325335, 'Left Curve')",0.002009439844290214,0.0,1.941875,3.891875,9.488323073935394,30.488323073935394,6.4
61,5,325,316,316,0.8125,0.79,0.79,0.0125,-0.01,-0.01,"(275.73590024074326, 'Left Curve')",0.003626658694522209,0.0,1.941875,3.891875,9.517703773150872,30.51770377315087,6.2
