Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Error_Lateral,Error_Yaw (rad),Error_Yaw(deg),Angle_MPC(rad),Angle_MPC(deg),Konversi_MPC2Angle,Angle,FPS,km/h
0,0,199,147,206,0.6840625000000001,0.5053125,0.7081250000000001,-0.41593750000000007,-0.5946875,-0.39187500000000003,"(9.114480917591578e+17, 'Straight')",1.09715518529413e-18,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1048576.0,0
1,0,369,335,313,1.2684375,1.1515625,1.0759375000000002,0.16843750000000002,0.051562500000000004,-0.024062500000000004,"(44.67027739771768, 'Left Curve')",0.02238625005832385,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.2,0
2,0,363,335,312,1.2478125000000002,1.1515625,1.0725000000000002,0.1478125,0.051562500000000004,-0.027500000000000004,"(53.51181036726313, 'Left Curve')",0.018687463442869597,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.2,0
3,0,366,335,312,1.2581250000000002,1.1515625,1.0725000000000002,0.15812500000000002,0.051562500000000004,-0.027500000000000004,"(46.622541432037295, 'Left Curve')",0.021448852192189522,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.9,0
4,0,368,336,312,1.2650000000000001,1.1550000000000002,1.0725000000000002,0.16500000000000004,0.05500000000000001,-0.027500000000000004,"(46.85520514895744, 'Left Curve')",0.021342345995944288,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.2,0
5,0,369,335,313,1.2684375,1.1515625,1.0759375000000002,0.16843750000000002,0.051562500000000004,-0.024062500000000004,"(46.71886276409738, 'Left Curve')",0.021404630610325607,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.9,0
6,0,371,335,313,1.2753125,1.1515625,1.0759375000000002,0.1753125,0.051562500000000004,-0.024062500000000004,"(41.32488451772794, 'Left Curve')",0.024198494724673957,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
7,0,369,335,313,1.2684375,1.1515625,1.0759375000000002,0.16843750000000002,0.051562500000000004,-0.024062500000000004,"(42.48311341166258, 'Left Curve')",0.02353876445706725,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.4,0
8,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(39.49841739725457, 'Left Curve')",0.025317470063231123,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.4,0
9,0,373,335,314,1.2821875000000003,1.1515625,1.0793750000000002,0.18218750000000003,0.051562500000000004,-0.020625000000000004,"(40.05047492993822, 'Left Curve')",0.02496849292672152,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.5,0
10,0,370,335,313,1.271875,1.1515625,1.0759375000000002,0.17187500000000003,0.051562500000000004,-0.024062500000000004,"(40.01561528974554, 'Left Curve')",0.02499024425237968,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
11,0,374,335,314,1.2856250000000002,1.1515625,1.0793750000000002,0.185625,0.051562500000000004,-0.020625000000000004,"(37.71846557026299, 'Left Curve')",0.026512213179435216,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
12,0,366,334,313,1.2581250000000002,1.148125,1.0759375000000002,0.15812500000000002,0.04812500000000001,-0.024062500000000004,"(43.65099115881698, 'Left Curve')",0.022908987252125933,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
13,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(39.539925721093994, 'Left Curve')",0.02529089222508362,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.5,0
14,0,370,334,314,1.271875,1.148125,1.0793750000000002,0.17187500000000003,0.04812500000000001,-0.020625000000000004,"(42.26689715411856, 'Left Curve')",0.023659176976102165,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.2,0
15,0,372,334,314,1.2787500000000003,1.148125,1.0793750000000002,0.17875000000000002,0.04812500000000001,-0.020625000000000004,"(38.87856448340557, 'Left Curve')",0.025721114276912854,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.3,0
16,0,371,335,314,1.2753125,1.1515625,1.0793750000000002,0.1753125,0.051562500000000004,-0.020625000000000004,"(40.755201727086614, 'Left Curve')",0.024536745191360017,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.7,0
17,0,369,335,314,1.2684375,1.1515625,1.0793750000000002,0.16843750000000002,0.051562500000000004,-0.020625000000000004,"(39.765189443614105, 'Left Curve')",0.025147623184795114,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.6,0
18,0,373,336,314,1.2821875000000003,1.1550000000000002,1.0793750000000002,0.18218750000000003,0.05500000000000001,-0.020625000000000004,"(40.07780473236157, 'Left Curve')",0.024951466445778937,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
19,0,372,335,314,1.2787500000000003,1.1515625,1.0793750000000002,0.17875000000000002,0.051562500000000004,-0.020625000000000004,"(38.17745580597173, 'Left Curve')",0.02619346886503578,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.8,0
20,0,373,335,314,1.2821875000000003,1.1515625,1.0793750000000002,0.18218750000000003,0.051562500000000004,-0.020625000000000004,"(37.747895648994344, 'Left Curve')",0.026491542980267863,0.0,1.643125,3.293125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.1,0
