Image Index;Jarak Tengah Ke Garis Kanan;Jarak Tengah Ke Garis Kiri;Error Lateral;;;;;;;;;;referensi;actual
0;-0.54375;0.61875;0;-0.2;;;;;;;;;0.6;0.6
1;-0.538125;0.616875;0;-0.2;;;;;;;;;0.6;0.6
2;-0.541875;0.6225;0;-0.2;;;;;;;;;0.6;0.6
3;-0.55125;0.61875;0;-0.2;;;;;;;;;0.6;0.6
4;-0.54375;0.620625;0;-0.2;;;;;;;;;0.6;0.6
5;-0.5475;0.615;0;-0.2;;;;;;;;;0.6;0.6
6;-0.54;0.616875;0;-0.2;;;;;;;;;0.6;0.6
7;-0.54375;0.620625;0;-0.2;;;;;;;;;0.6;0.6
8;-0.541875;0.6225;0;-0.2;;;;;;;;;0.6;0.6
9;-0.54375;0.6225;0;-0.2;;;;;;;;;0.6;0.6
10;-0.55125;0.61875;0;-0.2;;;;;;;;;0.6;0.6
11;-0.541875;0.61875;0;-0.2;;;;;;;;;0.6;0.6
12;-0.53625;0.61875;0;-0.2;;;;;;;;;0.6;0.6
13;-0.579375;0.6225;0;-0.2;;;;;;;;;0.6;0.6
14;-0.56625;0.631875;0;-0.2;;;;;;;;;0.6;0.6
15;-0.564375;0.631875;0;-0.2;;;;;;;;;0.6;0.6
16;-0.5625;0.624375;0;-0.2;;;;;;;;;0.6;0.6
17;-0.5625;0.635625;0;-0.2;;;;;;;;;0.6;0.6
18;-0.545625;0.646875;0;-0.2;;;;;;;;;0.6;0.6
19;-0.54375;0.635625;0;-0.2;;;;;;;;;0.6;0.6
20;-0.553125;0.643125;0;-0.2;;;;;;;;;0.6;0.6
21;-0.538125;0.62625;0;-0.2;;;;;;;;;0.6;0.6
22;-0.53625;0.616875;0;-0.2;;;;;;;;;0.6;0.6
23;-0.54;0.61875;0;-0.2;;;;;;;;;0.6;0.6
24;-0.5475;0.594375;0;-0.2;;;;;;;;;0.6;0.6
25;-0.560625;0.59625;0;-0.2;;;;;;;;;0.6;0.6
26;-0.549375;0.583125;0;-0.2;;;;;;;;;0.6;0.6
27;-0.538125;0.5625;0;-0.2;;;;;;;;;0.6;0.6
28;-0.568125;0.553125;-0.01;-0.21;;;;;;;;;0.6;0.59
29;-0.5625;0.5325;-0.02;-0.22;;;;;;;;;0.6;0.58
30;-0.57;0.5175;-0.02;-0.22;;;;;;;;;0.6;0.58
31;-0.586875;0.500625;-0.04;-0.24;;;;;;;;;0.6;0.56
32;-0.575625;0.4875;-0.04;-0.24;;;;;;;;;0.6;0.56
33;-0.575625;0.4725;-0.05;-0.25;;;;;;;;;0.6;0.55
34;-0.571875;0.463125;-0.05;-0.25;;;;;;;;;0.6;0.55
35;-0.538125;0.455625;-0.05;-0.25;;;;;;;;;0.6;0.55
36;-0.5325;0.45;-0.05;-0.25;;;;;;;;;0.6;0.55
37;-0.541875;0.433125;-0.06;-0.26;;;;;;;;;0.6;0.54
38;-0.54;0.425625;-0.06;-0.26;;;;;;;;;0.6;0.54
39;-0.585;0.40875;-0.06;-0.26;;;;;;;;;0.6;0.54
40;-0.586875;0.391875;-0.06;-0.26;;;;;;;;;0.6;0.54
41;-0.605625;0.391875;-0.07;-0.27;;;;;;;;;0.6;0.53
42;-0.613125;0.376875;-0.06;-0.26;;;;;;;;;0.6;0.54
43;-0.61125;0.37875;-0.06;-0.26;;;;;;;;;0.6;0.54
44;-0.645;0.36;-0.05;-0.25;;;;;;;;;0.6;0.55
45;-0.661875;0.35625;-0.06;-0.26;;;;;;;;;0.6;0.54
46;-0.669375;0.346875;-0.05;-0.25;;;;;;;;;0.6;0.55
47;-0.669375;0.331875;-0.05;-0.25;;;;;;;;;0.6;0.55
48;-0.669375;0.31875;-0.05;-0.25;;;;;;;;;0.6;0.55
49;-0.669375;0.305625;-0.05;-0.25;;;;;;;;;0.6;0.55
50;-0.669375;0.290625;-0.05;-0.25;;;;;;;;;0.6;0.55
51;-0.669375;0.27;-0.04;-0.24;;;;;;;;;0.6;0.56
52;-0.669375;0.255;-0.05;-0.25;;;;;;;;;0.6;0.55
53;-0.669375;0.22125;-0.06;-0.26;;;;;;;;;0.6;0.54
54;-0.669375;0.2025;-0.06;-0.26;;;;;;;;;0.6;0.54
55;-0.669375;0.181875;-0.06;-0.26;;;;;;;;;0.6;0.54
56;-0.669375;0.15;-0.06;-0.26;;;;;;;;;0.6;0.54
57;-0.669375;0.13125;-0.07;-0.27;;;;;;;;;0.6;0.53
58;-0.669375;0.09375;-0.08;-0.28;;;;;;;;;0.6;0.52
59;-0.669375;0.05625;-0.08;-0.28;;;;;;;;;0.6;0.52
60;-0.669375;-0.01875;-0.09;-0.29;;;;;;;;;0.6;0.51
61;-0.669375;-0.043125;-0.1;-0.3;;;;;;;;;0.6;0.5
62;-0.669375;-0.09375;-0.1;-0.3;;;;;;;;;0.6;0.5
63;-0.669375;-0.118125;-0.1;-0.3;;;;;;;;;0.6;0.5
64;-0.669375;-0.1725;-0.11;-0.31;;;;;;;;;0.6;0.49
65;-0.669375;-0.215625;-0.12;-0.32;;;;;;;;;0.6;0.48
66;-0.669375;-0.294375;-0.13;-0.33;;;;;;;;;0.6;0.47
