Image Index;Jarak Tengah Ke Garis Kanan;Jarak Tengah Ke Garis Kiri;Error Lateral
0;-0.54375;0.61875;0
1;-0.538125;0.616875;0
2;-0.541875;0.6225;0
3;-0.55125;0.61875;0
4;-0.54375;0.620625;0
5;-0.5475;0.615;0
6;-0.54;0.616875;0
7;-0.54375;0.620625;0
8;-0.541875;0.6225;0
9;-0.54375;0.6225;0
10;-0.55125;0.61875;0
11;-0.541875;0.61875;0
12;-0.53625;0.61875;0
13;-0.579375;0.6225;0
14;-0.56625;0.631875;0
15;-0.564375;0.631875;0
16;-0.5625;0.624375;0
17;-0.5625;0.635625;0
18;-0.545625;0.646875;0
19;-0.54375;0.635625;0
20;-0.553125;0.643125;0
21;-0.538125;0.62625;0
22;-0.53625;0.616875;0
23;-0.54;0.61875;0
24;-0.5475;0.594375;0
25;-0.560625;0.59625;0
26;-0.549375;0.583125;0
27;-0.538125;0.5625;0
28;-0.568125;0.553125;-0.01
29;-0.5625;0.5325;-0.02
30;-0.57;0.5175;-0.02
31;-0.586875;0.500625;-0.04
32;-0.575625;0.4875;-0.04
33;-0.575625;0.4725;-0.05
34;-0.571875;0.463125;-0.05
35;-0.538125;0.455625;-0.05
36;-0.5325;0.45;-0.05
37;-0.541875;0.433125;-0.06
38;-0.54;0.425625;-0.06
39;-0.585;0.40875;-0.06
40;-0.586875;0.391875;-0.06
41;-0.605625;0.391875;-0.07
42;-0.613125;0.376875;-0.06
43;-0.61125;0.37875;-0.06
44;-0.645;0.36;-0.05
45;-0.661875;0.35625;-0.06
46;-0.669375;0.346875;-0.05
47;-0.669375;0.331875;-0.05
48;-0.669375;0.31875;-0.05
49;-0.669375;0.305625;-0.05
50;-0.669375;0.290625;-0.05
51;-0.669375;0.27;-0.04
52;-0.669375;0.255;-0.05
53;-0.669375;0.22125;-0.06
54;-0.669375;0.2025;-0.06
55;-0.669375;0.181875;-0.06
56;-0.669375;0.15;-0.06
57;-0.669375;0.13125;-0.07
58;-0.669375;0.09375;-0.08
59;-0.669375;0.05625;-0.08
60;-0.669375;-0.01875;-0.09
61;-0.669375;-0.043125;-0.1
62;-0.669375;-0.09375;-0.1
63;-0.669375;-0.118125;-0.1
64;-0.669375;-0.1725;-0.11
65;-0.669375;-0.215625;-0.12
66;-0.669375;-0.294375;-0.13
